,Severe1,Severe2,Severe3,Severe4,Severe5,Severe6,Middle1,Middle2,Middle3,Middle4,Middle5,Middle6,Mild1,Mild2,Mild3,Mild4,Mild5,Mild6
ASV120,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000670125,0,0,0,0
ASV130,0,2.48E-05,0,0,0,0,0,0,0,0.000397111,0,0,0,0.000273014,0,0,0.000248194,0
ASV374,0,0,0,0,0,0,0,0,0,0.000595667,0,0,0,0,0,0.000471569,0,0
ASV52,0.000347472,0,0,0.000148917,0.000198556,0,0.00042193,7.45E-05,0,0,0,0.000223375,0,0,0,0,0,0
ASV367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001240972,0
ASV256,0,0,0,0,0,0,0,0.000595667,0,0,0,0,0.000297833,0,0,0.000173736,0,0.000124097
ASV160,0,0,0,0,0,0,0,0.000397111,0,0.000124097,7.45E-05,0,7.45E-05,9.93E-05,0.000124097,4.96E-05,0,0
ASV929,0,0,0,0.001116875,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV155,0,0,9.93E-05,0,0,0,0,0,0,0.000148917,0,0,0.000173736,9.93E-05,0,0.000248194,0,9.93E-05
ASV89,0,0,0.000124097,0,4.96E-05,0,0,0,4.96E-05,0,0,0,0,0.000124097,0.000124097,0,0,0
ASV478,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000843861,0
ASV477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000918319,0
ASV1342,0,0,0,0,0,0,0,0,0,0,0.001141694,0,0,0,0,0,0,0
ASV74,0,0,0,0,9.93E-05,0,0,0,0,0,0,4.96E-05,0,0.000173736,0.000124097,0,0,0
ASV479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000967958,0
ASV480,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008935,0
ASV1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV109,0,0,9.93E-05,0,4.96E-05,0,0.000694944,0,0,0,0,0,0,0,0,0,0,0
ASV481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000744583,0
ASV1126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794222,0,0,0
ASV482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000794222,0
ASV650,0,0,0,0,0,0,0,0.00044675,0,0,0,0,0,0,0,0.000322653,0,0
ASV577,0,0,0,0,0,0,0.000769403,0,0,0,0,0,0,0,0,0,0,0
ASV1271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV157,0.000124097,0,0,0,0,0,0,0.000322653,0,2.48E-05,0,0,0,7.45E-05,0,0,9.93E-05,0
ASV411,0,0,0,4.96E-05,0,0,9.93E-05,0,0,0.000124097,0,7.45E-05,0,0,0,0.000148917,0,0
ASV1011,0,0,0,0,0,0,0,0,0,0.000645305,0,0,0,0,0,0,0,0
ASV388,0,0,0,0,0,0,0.000124097,0,0,9.93E-05,7.45E-05,0,0,0,0,0,0,0
ASV405,0,0,0,0,0,0,0,7.45E-05,0,0,0,0.000521208,0,0,0,0,0,0
ASV368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV793,0,0,0,0,0,0,0,0,0,0,0,0.000670125,0,0,0,0,0,0
ASV579,0,0,0,0,0,0,0.000670125,0,0,0,0,0,0,0,0,0,0,0
ASV428,0,0,0,0,0,0,2.48E-05,7.45E-05,0,0.000173736,7.45E-05,0,0,0,0,0,0,0
ASV1055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV681,0,0,0,0,0,0,0,0.000570847,0,0,0,0,0,0,0,0,0,0
ASV930,0,0,0,0.000595667,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000570847,0
ASV271,0,0,0,0,0,0,0,0,0,2.48E-05,0,0,0.000124097,0,0,0,0,0
ASV261,0,0,0,0,0,0,0,0,0,0.000173736,0,0,0.000198556,0,0,0,0,0
ASV187,0,0,0.000546028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV125,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00044675,0,0,0,0
ASV1013,0,0,0,0,0,0,0,0,0,0.000521208,0,0,0,0,0,0,0,0
ASV1012,0,0,0,0,0,0,0,0,0,0.00044675,0,0,0,0,0,0,0,0
ASV697,0,0,0,0,0,0,0,0.000124097,0,0,0,0,0,0,0,0,0,0
ASV1282,0,0,0,0,0,0,0,0,0,0,0.000322653,0,0,0,0,0,0,0
ASV1056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1017,0,0,0,0,0,0,0,0,0,0.000372292,0,0,0,0,0,0,0,4.96E-05
ASV418,0,0,0,0,0,0,0,0,0,4.96E-05,0,0,0,0,0,0,0,0
ASV682,0,0,0,0,0,0,0,0.000521208,0,0,0,0,0,0,0,0,0,0
ASV253,0,0,0,0,0,0,0,0,0,0,0,0,0.000471569,0,0,0,0,0
ASV1015,0,0,0,0,0,0,0,0,0,0.000397111,0,0,0,0,0,0,0,0
ASV188,0,0,0.000521208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1014,0,0,0,0,0,0,0,0,0,0.000471569,0,0,0,0,0,0,0,0
ASV1016,0,0,0,0,0,0,0,0,0,0.000546028,0,0,0,0,0,0,0,0
ASV370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV254,0,0,0,0,0,0,0,0,0,0,0,0,0.00042193,0,0,0,0,0
ASV1225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV485,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397111,0
ASV794,0,0,0,0,0,0,0,0,0,0,0,0.000471569,0,0,0,0,0,0
ASV189,0,0,0.00044675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1343,0,0,0,0,0,0,0,0,0,0,0.000521208,0,0,0,0,0,0,0
ASV301,0,0,0,0,0,0,0,0,0,0,0,0.000223375,0,0,0,0,0,0
ASV484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000471569,0
ASV795,0,0,0,0,0,0,0,0,0,0,0,0.000372292,0,0,0,0,0,0
ASV684,0,0,0,0,0,0,0,0.000347472,0,0,0,0,0,0,0,0,0,0
ASV652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.93E-05,0.000248194,0,0.000124097
ASV385,0,0,0,0,0,0,0,0,0,4.96E-05,0,0.000173736,0,0,0,0,0,0
ASV648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000372292,0,0
ASV630,0,0,0,0,0,0,2.48E-05,0,0,0,0,0,0,0,0,0,0,0
ASV595,0,0,0,0,0,0,0.000124097,0,0,0,0,0,0,0,0,0,0,0
ASV1344,0,0,0,0,0,0,0,0,0,0,0.000471569,0,0,0,0,0,0,0
ASV486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000347472,0
ASV796,0,0,0,0,0,0,0,0,0,0,0,0.000372292,0,0,0,0,0,0
ASV487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000397111,0
